,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,6161870.666074759,0.0,0.0,0.0,0.0,6161801.226609933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,6161870.257812207,0.0,0.0,0.0,0.0,6161775.810885519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,6161867.879719022,0.0,6161810.44049979,0.0,0.0,0.0,0.0,6161868.333503828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,6161430.294761851,0.0,6161825.253861225,0.0,0.0,0.0,0.0,6161887.985697318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,6161853.778250381,0.0,6161566.744780186,0.0,0.0,0.0,0.0,6161267.3909210395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,6161740.949048314,0.0,0.0,0.0,0.0,0.0,0.0,6161224.611132801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6161868.0726697575,0.0,0.0,0.0,0.0,0.0,0.0,6161774.64640301,0.0,0.0,0.0,0.0,6161314.1078901375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6161869.614237611,0.0,0.0,0.0,0.0,6161858.691951679,0.0,6161893.3311294895,0.0,0.0,0.0,0.0,6161875.359230475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,6161735.832101111,0.0,0.0,0.0,0.0,6161789.617729114,0.0,6161864.828278925,0.0,0.0,0.0,0.0,6161900.444362681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,6161725.524079777,0.0,0.0,0.0,0.0,6161890.82502669,0.0,6161400.65339079,0.0,0.0,0.0,0.0,6161856.101582671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6161387.026503264,0.0,0.0,0.0,0.0,6161424.609493124,0.0,6160694.493781218,0.0,0.0,0.0,0.0,6161516.9883638825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,6161565.70484802,0.0,0.0,0.0,0.0,6161295.312128476,0.0,0.0,0.0,0.0,0.0,0.0,6161280.346950126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,6161866.7888442045,0.0,0.0,0.0,0.0,0.0,0.0,6161898.59547409,0.0,0.0,0.0,0.0,6161801.452831178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6161776.088493051,0.0,0.0,0.0,0.0,6161898.985176957,0.0,6161900.811010822,0.0,0.0,0.0,0.0,6161902.337952779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6161892.843688489,0.0,0.0,0.0,0.0,6161901.497137794,0.0,6161877.354419909,0.0,0.0,0.0,0.0,6161880.502457943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
