-0.13432,-0.12481,1,-0.49533,-0.29643,-0.98068,-0.3829,-1,-1,1
-0.43284,-0.049624,0.60356,-0.33333,0.042858,-0.84541,-0.5539,-1,-1,1
-0.55838,-0.1579,0.58129,-0.22118,0.13571,-0.8744,-0.5632,-1,-1,1
-0.42844,-0.25414,0.64365,-0.37695,0,-0.81642,-0.48141,-1,-1,1
-0.44951,-0.23609,0.61247,-0.4081,0.16786,-0.82287,-0.50929,-1,-1,1
-0.5777,-0.38045,0.60802,-0.17134,0.12857,-0.79388,-0.50929,-1,0.019608,1
-0.44864,-0.22707,0.60356,-0.47041,0.17143,-0.8132,-0.49071,-1,-1,1
-0.43722,-0.27218,0.60802,-0.52648,0.225,-0.81642,-0.47769,-1,-1,1
-0.29499,-0.0045111,0.59466,-0.3271,-0.18929,-0.81965,-0.46654,-1,-1,1
-0.4381,-0.31729,0.60356,-0.33333,0.13571,-0.81642,-0.44795,-1,-0.56863,1
-0.59965,-0.4015,0.5412,-0.20872,0.21071,-0.78422,-0.50558,-1,-0.058824,1
-0.43108,-0.37744,0.63029,-0.38941,0.14286,-0.80676,-0.41822,-1,-1,1
-0.58384,-0.35338,0.52784,-0.30841,0.23929,-0.77778,-0.51301,-1,-0.058824,1
-0.44425,-0.3594,0.58575,-0.38941,0.21429,-0.82609,-0.45167,-1,-0.33333,1
-0.43108,-0.43459,0.59911,-0.36449,0.24286,-0.8132,-0.42937,-1,-1,1
-0.43284,-0.37444,0.57684,-0.41433,0.225,-0.8132,-0.44981,-1,-1,1
-0.41264,-0.41353,0.63474,-0.45794,0.17857,-0.80354,-0.39219,-1,-1,1
-0.050918,0.091729,0.71492,-0.62617,-0.44643,-0.95169,-0.30855,-1,-1,1
-0.30114,-0.046616,0.66147,-0.44548,-0.175,-0.98068,-0.35688,-1,-1,1
-0.45566,-0.31128,0.57684,-0.12773,0.042858,-0.82609,-0.44052,-1,-0.72549,1
-0.44249,-0.37143,0.58129,-0.25234,0.05,-0.82609,-0.42565,-1,-0.2549,1
-0.25285,0.21504,0.67038,-1,-0.21072,-0.99034,-0.33643,-1,-1,1
-0.45479,-0.38346,0.61247,-0.37695,0.064286,-0.80998,-0.39219,-1,-1,1
-0.44161,-0.37444,0.5902,-0.33956,0.14643,-0.80032,-0.41264,-1,-1,1
-0.46883,-0.20301,0.55902,-0.46417,0.085713,-0.83897,-0.44238,-1,-1,1
-0.4302,-0.32331,0.57684,-0.42679,0.13928,-0.79066,-0.42379,-1,-1,1
-0.40474,-0.25414,0.55011,-0.30218,0.010714,-0.80998,-0.44238,-1,-1,1
-0.46795,-0.35639,0.55011,-0.35202,0.15357,-0.81965,-0.44238,-1,-1,1
